#node	identifier	domain_summary_url	annotation	other_names_and_aliases
GABRA2	9606.ENSP00000427603	Gamma-aminobutyric acid receptor subunit alpha-2; Ligand-gated chloride channel which is a component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the brain (By similarity). Plays an important role in the formation of functional inhibitory GABAergic synapses in addition to mediating synaptic inhibition as a GABA-gated ion channel (By similarity). The gamma2 subunit is necessary but not sufficient for a rapid formation of active synaptic contacts and the synaptogenic effect of this subunit is influenced by the type of alpha and beta subunits present [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=511:SIGNAL(1|28)+Pfam_Neur_chan_LBD(42|250)+Pfam_Neur_chan_memb(257|497)+	2555,A0A024R9X6,A0A0A0MTM5,A8K0U7,AAB27278.1,AB209295,AC084352,AC093745,AC095060,AC104072,AK125179,AK289662,AK293466,ALQ33539.1,ALQ33540.1,B7Z1H8,BAD92532.1,BAF82351.1,BAG54159.1,BAH11514.1,CAB079061,CCDS3471,CCDS3471.1,CCDS82921,CCDS82921.1,CH471069,CHEMBL4956,D6RAA9,D6RB77,D6RBK9,D6RBL7,D6RCS5,E9PBQ7,EAW93022.1,EAW93023.1,EAW93024.1,EAW93025.1,ENSG00000151834,ENSP00000281576,ENSP00000311512,ENSP00000338575,ENSP00000348897,ENSP00000371033,ENSP00000421300,ENSP00000421639,ENSP00000421828,ENSP00000422642,ENSP00000422805,ENSP00000423840,ENSP00000424093,ENSP00000424362,ENSP00000425240,ENSP00000425526,ENSP00000427603,ENSP00000444409,ENSP00000486333,ENST00000281576,ENST00000311462,ENST00000336012,ENST00000356504,ENST00000356504.5,ENST00000381620,ENST00000381620.8,ENST00000503806,ENST00000503806.5,ENST00000506961,ENST00000506961.5,ENST00000507069,ENST00000507069.5,ENST00000507460,ENST00000507460.1,ENST00000509716,ENST00000509716.2,ENST00000510233,ENST00000510233.5,ENST00000510861,ENST00000510861.5,ENST00000513005,ENST00000513005.5,ENST00000514090,ENST00000514090.5,ENST00000514193,ENST00000514193.5,ENST00000514236,ENST00000514236.1,ENST00000515082,ENST00000515082.5,ENST00000540012,ENST00000540012.5,ENST00000630416,ENST00000630416.2,G5E9Z6,GABA(A) receptor subunit alpha-2,GABA(A) receptor, alpha 2,GABRA2,GABRA2-201,GABRA2-202,GABRA2-203,GABRA2-204,GABRA2-205,GABRA2-206,GABRA2-207,GABRA2-208,GABRA2-209,GABRA2-210,GABRA2-211,GABRA2-212,GABRA2-213,GABRA2-214,GABRA2-215,GABRA2-216,GBRA2_HUMAN,Gamma-aminobutyric acid receptor subunit alpha-2,H0Y9V8,HGNC:4076,KU178081,KU178082,NM_000807,NM_000807.3,NM_000807.4,NM_001114175,NM_001114175.2,NM_001286827,NM_001286827.2,NM_001286827.3,NM_001330690,NM_001330690.1,NP_000798,NP_000798.2,NP_001107647,NP_001107647.1,NP_001273756,NP_001273756.1,NP_001317619,NP_001317619.1,NX_P47869,OMIM:137140,OTTHUMG00000044266,P47869,Q59G14,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-977443,S62907,UPI000013DC88,UPI000020BC4C,UPI000049193F,UPI0001891FF3,UPI0001D3B36E,UPI0001D3B36F,UPI0001D3B370,UPI0001D3B372,UPI0003F47ED5,UPI0004E4C94C,URS00008B6B1A,URS0000E91A78,XM_011513675,XM_011513675.1,XM_017007982,XM_017007982.1,XM_017007982.2,XM_017007983,XM_017007983.1,XM_017007983.2,XM_024453963,XM_024453963.1,XM_024453964,XM_024453964.1,XM_024453965,XM_024453965.1,XM_024453966,XM_024453966.1,XM_024453967,XM_024453967.1,XM_024453968,XM_024453968.1,XM_024453969,XM_024453969.1,XM_024453970,XM_024453970.1,XM_024453971,XM_024453971.1,XM_024453972,XM_024453972.1,XM_024453973,XM_024453973.1,XM_024453974,XM_024453974.1,XP_011511977,XP_011511977.1,XP_016863471,XP_016863471.1,XP_016863472,XP_016863472.1,XP_024309731,XP_024309731.1,XP_024309732,XP_024309732.1,XP_024309733,XP_024309733.1,XP_024309734,XP_024309734.1,XP_024309735,XP_024309735.1,XP_024309736,XP_024309736.1,XP_024309737,XP_024309737.1,XP_024309738,XP_024309738.1,XP_024309739,XP_024309739.1,XP_024309740,XP_024309740.1,XP_024309741,XP_024309741.1,XP_024309742,XP_024309742.1,uc003gxc.5,uc062wij.1
GABRA5	9606.ENSP00000382953	Gamma-aminobutyric acid receptor subunit alpha-5; GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.	https://smart.embl.de/smart/DDvec.cgi?smart=462:SIGNAL(1|31)+Pfam_Neur_chan_LBD(49|257)+Pfam_Neur_chan_memb(264|374)+TRANS(431|448)+	2558,5O8F,5OJM,6A96,A8K338,AAA58490.1,AAC31809.1,AAF62508.1,AAF62509.1,AAF62510.1,AAI11980.1,AAI13423.1,AAP88832.1,AC127511,AC135999,AC145167,AC145196,AF061785,AF228447,AF228448,AF228449,AK290453,BAF83142.1,BC111979,BC113422,BT009830,CAB079022,CCDS45194,CCDS45194.1,CHEMBL5112,EIEE79,ENSG00000186297,ENSP00000335592,ENSP00000347557,ENSP00000382953,ENSP00000450529,ENSP00000450653,ENSP00000450717,ENSP00000450806,ENSP00000450932,ENSP00000451527,ENSP00000451554,ENST00000335625,ENST00000335625.9,ENST00000355395,ENST00000355395.9,ENST00000400081,ENST00000400081.7,ENST00000554038,ENST00000554038.5,ENST00000554083,ENST00000554083.1,ENST00000554596,ENST00000554596.5,ENST00000554599,ENST00000554599.5,ENST00000555060,ENST00000555060.1,ENST00000555182,ENST00000555182.5,ENST00000557449,ENST00000557449.5,ENST00000557484,ENST00000557484.5,EU606048,G3V296,G3V2G8,G3V2K2,G3V2Q9,G3V2Y5,G3V408,GABA(A) receptor subunit alpha-5,GABA(A) receptor, alpha 5,GABRA5,GABRA5-201,GABRA5-202,GABRA5-203,GABRA5-204,GABRA5-205,GABRA5-206,GABRA5-207,GABRA5-208,GABRA5-209,GABRA5-210,GABRA5-211,GBRA5_HUMAN,Gamma-aminobutyric acid receptor subunit alpha,Gamma-aminobutyric acid receptor subunit alpha-5,HGNC:4079,HPA077031,L08485,NM_000810,NM_000810.3,NM_000810.4,NM_001165037,NM_001165037.1,NP_000801,NP_000801.1,NP_001158509,NP_001158509.1,NX_P31644,OMIM:137142,OTTHUMG00000171824,P31644,Q14DC2,Q53XL6,Q9NYT3,Q9NYT4,Q9NYT5,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-977443,UPI000002D731,UPI00021CEFC3,UPI00021CEFC5,UPI00021CEFC6,UPI0003F47AEC,UPI0003F47BDB,UPI00053BD5B0,URS00008BF36D,URS00008C101B,URS0000EA99EF,XM_005268258,XM_005268258.2,XM_006720459,XM_006720459.2,XM_017022055,XM_017022055.1,XM_017022056,XM_017022056.1,XP_005268315,XP_005268315.1,XP_006720522,XP_006720522.1,XP_016877544,XP_016877544.1,XP_016877545,XP_016877545.1,hsa:2558,uc001zbd.3
GABRB2	9606.ENSP00000274547	Gamma-aminobutyric acid receptor subunit beta-2; Ligand-gated chloride channel which is a component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the brain. Plays an important role in the formation of functional inhibitory GABAergic synapses in addition to mediating synaptic inhibition as a GABA-gated ion channel. The gamma2 subunit is necessary but not sufficient for a rapid formation of active synaptic contacts and the synaptogenic effect of this subunit is influenced by the type of alpha and beta subunits present in the receptor pentamer (By sim [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=512:SIGNAL(1|24)+Pfam_Neur_chan_LBD(36|242)+Pfam_Neur_chan_memb(249|507)+	2561,6D6T,6D6U,A8K115,A8K1A0,AAB29370.1,AAB33982.1,AAB33983.1,AAH99705.1,AAH99719.1,AAI05640.1,AC008712,AC022120,AC091882,AC091989,ACY69094.1,ACY69095.1,AK289730,AK289815,AK294437,B7Z279,BAF82419.1,BAF82504.1,BAH11765.1,BC099705,BC099719,BC105639,CAB001964,CCDS4354,CCDS4354.1,CCDS4355,CCDS4355.1,CH471062,CHEMBL1920,D1LYT0,D1LYT1,E7EV50,EAW61543.1,ENSG00000145864,ENSP00000274546,ENSP00000274547,ENSP00000377531,ENSP00000429320,ENSP00000429750,ENSP00000430532,ENSP00000480066,ENST00000274547,ENST00000274547.6,ENST00000353437,ENST00000353437.10,ENST00000393959,ENST00000517547,ENST00000517547.5,ENST00000517901,ENST00000517901.5,ENST00000520240,ENST00000520240.5,ENST00000522758,ENST00000522758.1,ENST00000523730,ENST00000523730.1,ENST00000612710,ENST00000612710.1,GABA(A) receptor subunit beta-2,GABA(A) receptor, beta 2,GABRB2,GABRB2-201,GABRB2-202,GABRB2-203,GABRB2-204,GABRB2-205,GABRB2-206,GABRB2-207,GABRB2-208,GABRB2-209,GBRB2_HUMAN,GU086163,GU086164,Gamma-aminobutyric acid receptor subunit beta,Gamma-aminobutyric acid receptor subunit beta-2,HGNC:4082,HPA067632,ICEE2,KF458046,KF510900,NM_000813,NM_000813.2,NM_000813.3,NM_001371727,NM_001371727.1,NM_021911,NM_021911.2,NP_000804,NP_000804.1,NP_001358656,NP_001358656.1,NP_068711,NP_068711.1,NX_P47870,OMIM:600232,OTTHUMG00000130349,P47870,Q16323,Q4FZB2,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1236394,R-HSA-162582,R-HSA-9006934,R-HSA-977443,S67368,S77553,S77554,UPI000002AA29,UPI000002D733,UPI0000D4E93F,UPI0001914B88,UPI0001BC2643,URS00008B7D2F,hsa:2561,uc003lyr.2,uc063jhc.1
GABRD	9606.ENSP00000367848	Gamma-aminobutyric acid receptor subunit delta; GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.	https://smart.embl.de/smart/DDvec.cgi?smart=452:SIGNAL(1|24)+Pfam_Neur_chan_LBD(43|247)+Pfam_Neur_chan_memb(254|408)+TRANS(429|451)+	2563,A0A1W2PP88,A0A1W2PPH3,A0A1W2PPP1,A0A1W2PQR3,A0A1W2PQT2,A0A1W2PQZ5,A0A1W2PR72,A0A1W2PRC4,A0A1W2PRY7,AAB70007.1,AAH33801.1,AF016917,AL391845,BC033801,CCDS36,CCDS36.1,CHEMBL3591,EIG10,EJM7,ENSG00000187730,ENSP00000342957,ENSP00000367848,ENSP00000491287,ENSP00000491411,ENSP00000491632,ENSP00000491844,ENSP00000491871,ENSP00000491997,ENSP00000492352,ENSP00000492435,ENSP00000492500,ENST00000344115,ENST00000378585,ENST00000378585.6,ENST00000638411,ENST00000638411.1,ENST00000638604,ENST00000638604.1,ENST00000638763,ENST00000638763.1,ENST00000638771,ENST00000638771.1,ENST00000638804,ENST00000638804.1,ENST00000639045,ENST00000639045.1,ENST00000639070,ENST00000639070.1,ENST00000639625,ENST00000639625.1,ENST00000639777,ENST00000639777.1,ENST00000639935,ENST00000639935.1,ENST00000640030,ENST00000640030.1,ENST00000640067,ENST00000640067.1,ENST00000640317,ENST00000640317.1,ENST00000640423,ENST00000640423.1,ENST00000640688,ENST00000640688.1,ENST00000640892,ENST00000640892.1,ENST00000640949,ENST00000640949.1,ENST00000640981,ENST00000640981.1,GABA(A) receptor subunit delta,GABA(A) receptor, delta,GABRD,GABRD-201,GABRD-202,GABRD-203,GABRD-204,GABRD-205,GABRD-206,GABRD-207,GABRD-208,GABRD-209,GABRD-210,GABRD-211,GABRD-212,GABRD-213,GABRD-214,GABRD-215,GABRD-216,GABRD-217,GABRD-218,GABRD-219,GBRD_HUMAN,GEFSP5,Gamma-aminobutyric acid receptor subunit delta,HGNC:4084,HPA044371,NM_000815,NM_000815.4,NM_000815.5,NP_000806,NP_000806.2,NX_O14764,O14764,OMIM:137163,OTTHUMG00000041064,Q8N4N9,UPI0000070D0A,UPI00097BA5BD,UPI00097BA5D9,UPI00097BA5DF,UPI00097BA5F3,UPI00097BA626,UPI00097BA680,UPI00097BA70E,UPI00097BA76A,UPI00097BA7E9,XM_011541194,XM_011541194.3,XM_017000936,XM_017000936.1,XP_011539496,XP_011539496.1,XP_016856425,XP_016856425.1,gamma-aminobutyric acid (GABA) A receptor, delta,hsa:2563,uc001aip.3
GABRG2	9606.ENSP00000410732	Gamma-aminobutyric acid receptor subunit gamma-2; Ligand-gated chloride channel which is a component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the brain. Plays an important role in the formation of functional inhibitory GABAergic synapses in addition to mediating synaptic inhibition as a GABA-gated ion channel. The gamma2 subunit is necessary but not sufficient for a rapid formation of active synaptic contacts and the synaptogenic effect of this subunit is influenced by the type of alpha and beta subunits present in the receptor pentamer (By si [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=515:SIGNAL(1|40)+Pfam_Neur_chan_LBD(66|220)+Pfam_Neur_chan_memb(319|462)+TRANS(491|513)+	2566,6D6T,6D6U,6HUG,6HUJ,6HUK,6HUO,6HUP,6I53,A0A1W2PP56,A0A1W2PPN5,A0A1W2PPS4,A0A1W2PQ81,A0A1W2PQA6,A0A1W2PQR9,A0A1W2PQX1,A0A1W2PR49,A0A1W2PRM8,A0A1W2PRN4,A0A1W2PRU1,A0A1W2PRY3,A0A1W2PSF4,A0A1X7SBS5,A0A1X7SBZ8,A0A286YFI6,A8MWU7,AAD50273.1,AAH59389.1,AAH69348.1,AAH74795.1,AC008611,AC091926,AC091984,AF165124,AK299640,BAG61563.1,BC059389,BC069348,BC074795,CAA33437.1,CAB079060,CCDS4358,CCDS4358.1,CCDS4359,CCDS4359.1,CCDS47333,CCDS47333.1,CHEMBL2094120,CHEMBL2094121,CHEMBL2094122,CHEMBL2094130,CHEMBL2095172,CHEMBL2095190,CHEMBL2111339,CHEMBL2111366,CHEMBL2111370,CHEMBL2111392,CHEMBL2111413,E5RGJ0,E5RIG3,ENSG00000113327,ENSP00000231253,ENSP00000349000,ENSP00000354651,ENSP00000377510,ENSP00000410732,ENSP00000430124,ENSP00000430182,ENSP00000430732,ENSP00000491240,ENSP00000491245,ENSP00000491557,ENSP00000491582,ENSP00000491621,ENSP00000491763,ENSP00000491909,ENSP00000491958,ENSP00000492096,ENSP00000492125,ENSP00000492293,ENSP00000492329,ENSP00000492545,ENSP00000492581,ENSP00000492659,ENSP00000492869,ENSP00000493461,ENST00000231253,ENST00000356592,ENST00000356592.8,ENST00000361925,ENST00000361925.9,ENST00000393933,ENST00000414552,ENST00000414552.6,ENST00000522053,ENST00000522053.2,ENST00000522990,ENST00000522990.5,ENST00000523372,ENST00000523372.2,ENST00000638253,ENST00000638253.1,ENST00000638552,ENST00000638552.1,ENST00000638660,ENST00000638660.1,ENST00000638772,ENST00000638772.1,ENST00000638782,ENST00000638782.1,ENST00000638877,ENST00000638877.1,ENST00000639046,ENST00000639046.1,ENST00000639111,ENST00000639111.1,ENST00000639213,ENST00000639213.1,ENST00000639278,ENST00000639278.1,ENST00000639384,ENST00000639384.1,ENST00000639424,ENST00000639424.1,ENST00000639549,ENST00000639549.1,ENST00000639554,ENST00000639554.1,ENST00000639683,ENST00000639683.1,ENST00000639975,ENST00000639975.1,ENST00000640500,ENST00000640500.1,ENST00000640574,ENST00000640574.1,ENST00000640739,ENST00000640739.1,ENST00000640757,ENST00000640757.1,ENST00000640910,ENST00000640910.1,ENST00000640985,ENST00000640985.1,ENST00000641017,ENST00000641017.1,F5HB82,GABA(A) receptor subunit gamma-2,GABA(A) receptor, gamma 2,GABRG2,GABRG2-201,GABRG2-202,GABRG2-203,GABRG2-204,GABRG2-205,GABRG2-206,GABRG2-207,GABRG2-208,GABRG2-209,GABRG2-210,GABRG2-211,GABRG2-212,GABRG2-213,GABRG2-214,GABRG2-215,GABRG2-216,GABRG2-217,GABRG2-218,GABRG2-219,GABRG2-220,GABRG2-221,GABRG2-222,GABRG2-223,GABRG2-224,GABRG2-225,GABRG2-226,GABRG2-227,GABRG2-228,GABRG2-229,GBRG2_HUMAN,Gamma-aminobutyric acid receptor subunit gamma-2,HGNC:4087,NM_000816,NM_000816.3,NM_198903,NM_198903.2,NM_198904,NM_198904.2,NP_000807,NP_000807.2,NP_944493,NP_944493.2,NP_944494,NP_944494.1,NX_P18507,OMIM:137164,OTTHUMG00000130350,P18507,Q6GRL6,Q6PCC3,Q9UDB3,Q9UN15,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1236394,R-HSA-162582,R-HSA-9006934,R-HSA-977443,UPI000013C948,UPI00002263BC,UPI0000E09AE6,UPI00017503BD,UPI00017A7A04,UPI000387C7D4,UPI0003E64CB9,UPI00097BA5CE,UPI00097BA5DE,UPI00097BA623,UPI00097BA646,UPI00097BA64B,UPI00097BA660,UPI00097BA755,UPI00097BA768,UPI00097BA777,UPI00097BA77F,UPI00097BA7AF,UPI00097BA7B0,UPI00097BA7B8,UPI00097BA7CB,UPI000BAD59B4,URS0000E91C0C,X15376,uc003lyy.5
GJB6	9606.ENSP00000494468	Gap junction beta-6 protein; One gap junction consists of a cluster of closely packed pairs of transmembrane channels, the connexons, through which materials of low MW diffuse from one cell to a neighboring cell; Belongs to the connexin family. Beta-type (group I) subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=261:CNX(42|75)+Connexin_CCC(146|213)+	10804,A0A024RDS4,A0A2R8Y4J9,A0A2R8Y5T6,A0A2R8Y6N2,A0A2R8YCY0,AAH38934.1,AAP51162.1,AAV67951.1,AAV67952.1,AAV67953.1,AJ005585,AK075247,AK289592,AL355984,AY297110,AY789474,AY789475,AY789476,B3KQN2,BAF82281.1,BAG52094.1,BC038934,CAA06611.1,CCDS9291,CCDS9291.1,CH471075,CX30,CXB6_HUMAN,Connexin-30,Cx30,DFNA3,DFNA3B,DFNB1B,EAX08254.1,EAX08255.1,EAX08256.1,EAX08257.1,EAX08258.1,ECTD2,ED2,EDH,ENSG00000121742,ENSP00000241124,ENSP00000329570,ENSP00000348521,ENSP00000382938,ENSP00000382939,ENSP00000489698,ENSP00000493512,ENSP00000493621,ENSP00000493834,ENSP00000494122,ENSP00000494468,ENSP00000494720,ENSP00000494733,ENSP00000495320,ENSP00000495437,ENSP00000495841,ENST00000241124,ENST00000241124.11,ENST00000330835,ENST00000356192,ENST00000400065,ENST00000400065.7,ENST00000400066,ENST00000400066.8,ENST00000636852,ENST00000636852.1,ENST00000642251,ENST00000642251.1,ENST00000643121,ENST00000643121.1,ENST00000643211,ENST00000643211.1,ENST00000644236,ENST00000644236.1,ENST00000644283,ENST00000644283.1,ENST00000644667,ENST00000644667.1,ENST00000645654,ENST00000645654.1,ENST00000646108,ENST00000646108.1,ENST00000647029,ENST00000647029.1,ENST00000647243,ENST00000647243.1,GJB6,GJB6-201,GJB6-202,GJB6-203,GJB6-204,GJB6-205,GJB6-206,GJB6-207,GJB6-208,GJB6-209,GJB6-210,GJB6-211,GJB6-212,GJB6-213,GJB6-214,Gap junction beta-6 protein,Gap junction protein beta 6,HED,HED2,HGNC:4288,HPA014846,NM_001110219,NM_001110219.2,NM_001110219.3,NM_001110220,NM_001110220.2,NM_001110221,NM_001110221.2,NM_001370090,NM_001370090.1,NM_001370091,NM_001370091.1,NM_001370092,NM_001370092.1,NM_006783,NM_006783.4,NP_001103689,NP_001103689.1,NP_001103690,NP_001103690.1,NP_001103691,NP_001103691.1,NP_001357019,NP_001357019.1,NP_001357020,NP_001357020.1,NP_001357021,NP_001357021.1,NP_006774,NP_006774.2,NX_O95452,O95452,OMIM:604418,OTTHUMG00000016515,Q5Q1H9,Q5Q1I0,Q5Q1I1,Q5T5U0,Q8IUP0,R-HSA-157858,R-HSA-190828,R-HSA-190861,R-HSA-199991,R-HSA-5653656,UPI0000074737,UPI000D18E3DB,UPI000D193F3D,UPI000D195BB0,UPI000D196683,XM_017020357.1,XM_017020358.1,XM_017020359.1,XM_017020360.1,XP_016875846.1,XP_016875847.1,XP_016875848.1,XP_016875849.1,connexin 30,gap junction protein beta 6,gap junction protein, beta 6,gap junction protein, beta 6 (connexin 30),gap junction protein, beta 6, 30kDa,hsa:10804,uc001umz.5,uc001unc.5
GLT1D1	9606.ENSP00000281703	Glycosyltransferase 1 domain containing 1; Belongs to the glycosyltransferase group 1 family. Glycosyltransferase 4 subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=266:Pfam_Glycos_transf_1(132|239)+	144423,2.4.-.-,AAH43528.1,AC069262,AK056540,BAB71209.1,BC043528,CCDS9265,CCDS9265.1,CH471054,EAW98497.1,EAW98498.1,ENSG00000151948,ENSP00000281703,ENSP00000336907,ENSP00000347249,ENSP00000394692,ENSP00000399374,ENSP00000411992,ENSP00000437500,ENSP00000438158,ENSP00000445064,ENST00000281703,ENST00000281703.10,ENST00000337452,ENST00000355128,ENST00000413816,ENST00000413816.6,ENST00000441390,ENST00000441390.6,ENST00000442111,ENST00000442111.6,ENST00000537468,ENST00000537468.1,ENST00000539044,ENST00000539044.5,ENST00000542193,F5H088,FLJ31978,GL1D1_HUMAN,GLT1D1,GLT1D1-201,GLT1D1-202,GLT1D1-203,GLT1D1-204,GLT1D1-205,GLT1D1-206,Glycosyltransferase 1 domain containing 1,H0Y5M0,HGNC:26483,HPA039051,HPA039052,NM_001366886,NM_001366886.1,NM_001366887,NM_001366887.1,NM_001366888,NM_001366888.1,NM_001366889,NM_001366889.1,NM_144669,NM_144669.2,NM_144669.3,NP_001353815,NP_001353815.1,NP_001353816,NP_001353816.1,NP_001353817,NP_001353817.1,NP_001353818,NP_001353818.1,NP_653270,NP_653270.1,NR_133646,NR_133646.2,NR_159493,NR_159493.1,NX_Q96MS3,OTTHUMG00000168437,Q86XG8,Q96MS3,UPI000000DA5F,UPI0000070E33,UPI00015F45E5,UPI000204AB17,UPI000204AB18,XM_011537957,XM_011537957.2,XM_017018855,XM_017018855.2,XP_011536259,XP_011536259.1,XP_016874344,XP_016874344.1,XR_001748586,XR_001748586.1,XR_001748587,XR_001748587.1,XR_001748588,XR_001748588.1,XR_001748589,XR_001748589.1,XR_001748590,XR_001748590.1,XR_001748591,XR_001748591.1,glycosyltransferase 1 domain containing 1,hsa:144423,uc001uhx.2,uc058vcn.1
GPR22	9606.ENSP00000302676	G-protein coupled receptor 22; Orphan G-protein coupled receptor. Seems to act through a G(i)/G(o) mediated pathway. May be involved in ciliogenesis (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=433:Pfam_7tm_1(58|367)+	2845,A4D0R8,AAB63815.1,AAC51304.1,AC002381,ADZ31972.1,CCDS5744,CCDS5744.1,CH236947,CH471070,EAL24394.1,EAW83398.1,ENSG00000172209,ENSP00000302676,ENST00000304402,ENST00000304402.5,ENST00000473300,ENST00000473300.1,ENST00000496754,ENST00000496754.1,G protein-coupled receptor 22,G-protein coupled receptor 22,GPR22,GPR22-201,GPR22-202,GPR22-203,GPR22_HUMAN,HGNC:4477,HQ995527,NM_005295,NM_005295.2,NM_005295.3,NP_005286,NP_005286.2,NX_Q99680,O14554,OMIM:601910,OTTHUMG00000154902,Q99680,U66581,UPI000013E975,URS00008BD8C8,XM_011516056,XM_011516056.2,XM_011516056.3,XP_011514358,XP_011514358.1,hsa:2845,uc003vef.4
GRM3	9606.ENSP00000355316	Metabotropic glutamate receptor 3; G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.	https://smart.embl.de/smart/DDvec.cgi?smart=879:SIGNAL(1|24)+Pfam_ANF_receptor(67|475)+Pfam_NCD3G(505|555)+Pfam_7tm_3(588|825)+	1S8M,2913,3SM9,4XAR,5CNK,5CNM,6B7H,A4D1D0,AAC60379.2,AAD15616.1,AAH22496.2,AAH41407.1,ABC47402.1,ABY87922.1,AC002081,AC004829,AC005009,BC022496,BC041407,C9J2I2,C9JIT1,C9JUH9,CAA54796.1,CCDS5600,CCDS5600.1,CCDS87515,CCDS87515.1,CH236949,CH471091,CHEMBL2888,DQ315361,EAL24182.1,EAW76972.1,ENSG00000198822,ENSP00000355316,ENSP00000378208,ENSP00000378209,ENSP00000390037,ENSP00000398767,ENSP00000405427,ENSP00000407490,ENSP00000441407,ENSP00000444064,ENST00000361669,ENST00000361669.6,ENST00000394719,ENST00000394720,ENST00000421579,ENST00000421579.1,ENST00000439827,ENST00000439827.1,ENST00000441140,ENST00000441140.1,ENST00000454217,ENST00000454217.1,ENST00000536043,ENST00000546348,EU432123,GLUR3,GPRC1C,GRM3,GRM3-201,GRM3-202,GRM3-203,GRM3-204,GRM3-205,GRM3_HUMAN,Glutamate metabotropic receptor 3,HGNC:4595,KF458499,MGLUR3,Metabotropic glutamate receptor 3,NM_000840,NM_000840.2,NM_001363522,NM_001363522.1,NP_000831,NP_000831.2,NP_001350451,NP_001350451.1,NX_Q14832,OMIM:601115,OTTHUMG00000022884,Q14832,Q2PNZ6,Q75MV4,Q75N17,Q86YG6,Q8TBH9,R-HSA-162582,R-HSA-372790,R-HSA-388396,R-HSA-418594,R-HSA-420499,R-HSA-500792,UPI0000153EFC,UPI0000EE5768,UPI000198CE51,UPI000198CE52,UPI000198CE53,URS0000EAA537,URS0000EB6FD3,X77748,XM_011516088.1,XP_011514390.1,glutamate metabotropic receptor 3,glutamate receptor, metabotropic 3,hsa:2913,mGlu3,mGluR3,uc003uid.4
HCN1	9606.ENSP00000307342	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1; Hyperpolarization-activated ion channel exhibiting weak selectivity for potassium over sodium ions. Contributes to the native pacemaker currents in heart (If) and in neurons (Ih). May mediate responses to sour stimuli.	https://smart.embl.de/smart/DDvec.cgi?smart=890:Pfam_Ion_trans_N(98|141)+Pfam_Ion_trans(142|405)+cNMP(475|591)+	348980,5U6O,5U6P,A0A0U1RQR7,AAC39759.1,AC099514,AC114975,AC117529,AC138520,AF064876,BCNG-1,BCNG1,Brain cyclic nucleotide-gated channel 1,CCDS3952,CCDS3952.1,CHEMBL1795171,EIEE24,ENSG00000164588,ENSP00000307342,ENSP00000489134,ENSP00000501107,ENST00000303230,ENST00000303230.5,ENST00000634658,ENST00000634658.1,ENST00000637256,ENST00000637256.1,ENST00000637305,ENST00000637305.1,ENST00000638054,ENST00000638054.1,ENST00000673735,GEFSP10,HAC-2,HCN1,HCN1-201,HCN1-202,HCN1-203,HCN1-204,HCN1-205,HCN1-206,HCN1_HUMAN,HGNC:4845,HPA019195,KF457901,KF457909,NM_021072,NM_021072.3,NM_021072.4,NP_066550,NP_066550.2,NX_O60741,O60741,OMIM:602780,OTTHUMG00000131155,R-HSA-112316,R-HSA-1296061,R-HSA-1296071,UPI00001AED69,UPI000719A145,hsa:348980,uc003jok.4,uc003jok.5
